Serial_Num,Year,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-01 00:00:00, NR, -5.30,  90.00, 35.0, 1000.0,bom,  33.664,  16.735,main
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-01 06:00:00, NR, -5.50,  90.40, 35.0,  998.0,bom,  33.664,  25.747,main
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-01 12:00:00, NR, -6.20,  90.50, 35.0,  998.0,bom,  33.664,  25.747,main
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-01 18:00:00, NR, -7.10,  90.80, 35.0,  995.0,bom,  33.664,  36.698,main
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-02 00:00:00, NR, -8.00,  91.20, 35.0,  992.0,bom,  33.664,  46.992,main
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-02 06:00:00, NR, -8.30,  91.70, 40.0,  992.0,bom,  45.047,  46.992,main
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-02 12:00:00, NR, -8.90,  91.80, 45.0,  990.0,bom,  53.786,  51.037,main
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-02 18:00:00, NR, -9.00,  92.30, 45.0,  990.0,bom,  53.786,  51.037,main
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-03 00:00:00, NR, -9.10,  92.80, 45.0,  990.0,bom,  53.786,  51.037,main
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-03 06:00:00, NR, -9.40,  92.90, 40.0,  992.0,bom,  45.047,  46.992,main
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-03 12:00:00, NR, -9.50,  93.00, 40.0,  992.0,bom,  45.047,  46.992,main
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-03 18:00:00, NR, -9.50,  93.10, 40.0,  992.0,bom,  45.047,  46.992,main
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-04 00:00:00, NR, -9.60,  93.20, 35.0,  992.0,bom,  33.664,  46.992,main
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-04 06:00:00, NR, -9.80,  92.90, 35.0,  995.0,bom,  33.664,  36.698,main
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-04 12:00:00, NR, -9.70,  92.70, 30.0,  998.0,bom,  24.615,  25.747,main
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-04 18:00:00, NR, -9.60,  92.60, 30.0,  998.0,bom,  24.615,  25.747,main
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-05 00:00:00, NR, -9.50,  92.50, 30.0,  998.0,bom,  24.615,  25.747,main
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-05 06:00:00, NR, -9.70,  92.30, 25.0, 1000.0,bom,  10.794,  16.735,main
2004243S03088,2005,01, SI, WA,PHOEBE,2004-09-05 12:00:00, NR, -9.90,  91.70, 25.0, 1000.0,bom,  10.794,  16.735,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-06 12:00:00, TS, -5.00,  84.90, 20.0, 1007.0,reunion,   1.350,   3.549,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-06 18:00:00, TS, -5.50,  84.50, 25.0, 1006.0,reunion,  16.100,   5.283,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-07 00:00:00, TS, -6.10,  83.80, 25.0, 1005.0,reunion,  16.100,   7.684,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-07 06:00:00, TS, -7.20,  83.30, 25.0, 1004.0,reunion,  16.100,  11.030,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-07 12:00:00, TS, -7.90,  82.50, 25.0, 1002.0,reunion,  16.100,  17.753,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-07 18:00:00, TS, -8.50,  81.00, 30.0, 1000.0,reunion,  34.267,  24.168,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-08 00:00:00, TS, -9.20,  79.90, 37.0,  996.0,reunion,  56.142,  46.015,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-08 06:00:00, TS, -9.80,  79.20, 43.0,  993.0,reunion,  63.433,  52.446,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-08 12:00:00, TS,-10.20,  78.60, 50.0,  987.0,reunion,  71.975,  66.178,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-08 18:00:00, TS,-10.70,  78.10, 60.0,  978.0,reunion,  81.642,  77.534,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-09 00:00:00, TS,-10.90,  77.40, 60.0,  978.0,reunion,  81.642,  77.534,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-09 06:00:00, TS,-10.90,  76.60, 60.0,  978.0,reunion,  81.642,  77.534,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-09 12:00:00, TS,-10.40,  76.00, 55.0,  982.0,reunion,  78.500,  74.872,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-09 18:00:00, TS,-10.30,  75.80, 52.0,  985.0,reunion,  75.233,  68.018,main
2004312S05085,2005,03, SI, MM,AROLA,2004-11-10 00:00:00, TS,-10.50,  75.60, 50.0,  987.0,reunion,  71.975,  66.178,main
